Area,Center,Center,Center,Center,Center,Center,Center,Center,Center,Center,Center,Center,Center,Center,Center,Center,Center,Center,Center,Center,Center,South,Center,Center,Center,Center,Center,Center,Center,Center,Center,Center,Center,Center,Center,Center,Center,Center,Center,Center,North,Center,Center,Center,Center,North,Center,Center,North,Center,Center,Center,Center,North,North,Center,South,North,Center,Center,Center,Center,Center,Center,Center,North,Center,Center,Center,Center,South,North,South,South,South,Center,Center,South,South,Center,Center,Center,Center,North,Center,Center,Center,Center,Center,Center,Center,Center,Center,North,South,Center,South,Center,South,Center,Center,Center,South,Center,Center,Center,Center,Center,Center,Center,Center,Center,Center,Center,Center,South,Center,Center,Center,Center,North,Center,Center,South,Center,Center,Center,Center,Center,Center,Center,South,Center,Center,Center,Center,Center,Center,Center,Center,South,South,South,Center,Center,Center,Center,South,Center,Center,Center,South,Center,North,South,South,South,Center,Center,Center,Center,South,North,Center,South,Center,Center,Center,North,South,Center,Center,Center,South,Center,South,South,South,South,North,Center,Center,Center,South,Center,South,South,South,South,Center,South,South
Season,W,W,W,W,W,W,S,S,S,S,S,S,S,S,S,S,W,W,W,W,W,W,W,W,W,S,S,S,S,W,W,W,W,W,W,S,S,S,S,S,S,W,W,W,W,S,S,S,S,S,S,S,W,W,S,S,S,S,S,S,S,W,W,W,W,W,W,W,W,W,S,S,S,S,S,S,S,S,S,S,S,W,W,W,W,W,W,W,W,W,W,S,S,S,S,S,S,S,W,W,W,W,W,W,W,W,S,S,S,S,S,S,W,W,W,S,S,S,S,S,W,W,W,W,W,W,W,S,S,S,S,S,S,W,S,S,S,S,S,S,W,W,W,S,S,S,W,W,W,W,W,W,S,S,S,S,S,S,W,S,S,S,S,W,W,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,W,W,W,W,W,W,S,S,S,S,S
Sampling period,1,1,1,4,4,5,6,6,7,8,10,10,10,10,10,11,1,2,2,2,3,3,5,5,5,8,8,9,11,12,12,12,1,2,4,6,7,7,8,8,11,1,3,4,5,6,9,9,9,10,10,10,2,4,8,9,9,10,10,10,11,12,1,1,2,3,4,4,4,5,6,8,8,8,8,8,8,11,11,11,11,12,1,2,3,4,4,5,5,5,5,6,7,7,8,9,11,11,12,1,1,2,2,4,4,5,6,7,8,8,9,10,3,5,5,8,8,8,9,9,12,12,3,4,4,4,4,6,6,8,9,9,10,12,6,7,8,9,10,11,12,1,4,6,11,11,12,1,2,3,3,4,6,7,9,9,9,11,3,6,9,10,10,2,3,6,6,6,8,9,10,10,10,11,11,11,11,11,11,11,11,12,12,1,4,4,5,6,6,9,9,9
Year,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020
Trawler,N,N,Y,Y,N,N,Y,Y,N,NA,N,N,Y,N,Y,Y,Y,N,N,N,NA,N,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,Y,Y,Y,NA,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,NA,Y,N,Y,N,N,Y,N,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,NA,N,Y,Y,Y,Y,N,NA,NA,N,Y,N,Y,Y,Y,N,Y,N,Y,Y,N,N,Y,Y,N,Y,N,Y,N,N,Y,N,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
Date,01/01/2005,13/01/2005,28/01/2005,16/04/2005,28/04/2005,17/05/2005,01/06/2005,07/06/2005,28/07/2005,04/08/2005,01/10/2005,01/10/2005,06/10/2005,11/10/2005,15/10/2005,30/11/2005,30/01/2006,11/02/2006,22/02/2006,25/02/2006,05/03/2006,18/03/2006,24/05/2006,24/05/2006,31/05/2006,03/08/2006,24/08/2006,27/09/2006,28/11/2006,05/12/2006,09/12/2006,20/12/2006,27/01/2007,11/02/2007,28/04/2007,10/06/2007,11/07/2007,21/07/2007,18/08/2007,29/08/2007,27/11/2007,23/01/2008,29/03/2008,05/04/2008,17/05/2008,19/06/2008,07/09/2008,13/09/2008,16/09/2008,11/10/2008,20/10/2008,25/10/2008,14/02/2009,26/04/2009,18/08/2009,12/09/2009,23/09/2009,08/10/2009,10/10/2009,12/10/2009,11/11/2009,26/12/2009,10/01/2010,30/01/2010,11/02/2010,31/03/2010,03/04/2010,17/04/2010,24/04/2010,05/05/2010,14/06/2010,11/08/2010,13/08/2010,20/08/2010,20/08/2010,21/08/2010,24/08/2010,11/11/2010,11/11/2010,13/11/2010,26/11/2010,30/12/2010,22/01/2011,09/02/2011,26/03/2011,01/04/2011,15/04/2011,17/05/2011,27/05/2011,27/05/2011,27/05/2011,17/06/2011,09/07/2011,31/07/2011,30/08/2011,30/09/2011,02/11/2011,26/11/2011,06/12/2011,04/01/2012,04/01/2012,11/02/2012,23/02/2012,14/04/2012,28/04/2012,19/05/2012,02/06/2012,07/07/2012,17/08/2012,24/08/2012,08/09/2012,13/10/2012,30/03/2013,10/05/2013,11/05/2013,01/08/2013,03/08/2013,17/08/2013,17/09/2013,28/09/2013,18/12/2013,21/12/2013,22/03/2014,09/04/2014,12/04/2014,17/04/2014,19/04/2014,13/06/2014,14/06/2014,17/08/2014,11/09/2014,14/09/2014,11/10/2014,05/12/2014,09/06/2015,04/07/2015,01/08/2015,05/09/2015,01/10/2015,07/11/2015,08/12/2015,12/01/2016,05/04/2016,11/06/2016,07/11/2016,07/11/2016,10/12/2016,30/01/2017,04/02/2017,04/03/2017,27/03/2017,05/04/2017,02/06/2017,12/07/2017,05/09/2017,05/09/2017,28/09/2017,04/11/2017,23/03/2018,16/06/2018,29/09/2018,09/10/2018,31/10/2018,23/02/2019,23/03/2019,26/06/2019,27/06/2019,27/06/2019,14/08/2019,26/09/2019,05/10/2019,14/10/2019,17/10/2019,12/11/2019,15/11/2019,20/11/2019,24/11/2019,24/11/2019,24/11/2019,30/11/2019,30/11/2019,04/12/2019,20/12/2019,15/01/2020,15/04/2020,30/04/2020,02/05/2020,17/06/2020,24/06/2020,02/09/2020,17/09/2020,30/09/2020
ID,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,B1,B2,B3,B4,B5,B6,B8,B9,B10,B11,B13,B14,B15,B16,B17,B18,C1,C2,C4,C5,C6,C7,C8,C9,C10,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G13,G14,G15,G16,G17,G18,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,I1,I2,I3,I5,I6,I7,I8,I9,I10,I11,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,K1,K2,K3,K4,K5,K6,K7,L1,L2,L3,L4,L5,L6,M1,M2,M3,M4,M5,M6,M8,M9,M10,M11,M12,N1,N2,N3,N4,N6,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,O11,O12,O13,O14,O15,O16,O17,O18,O19,O20,P1,P2,P3,P4,P5,P6,P7,P8,P9
1001 Adi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002 Affi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003 Ali,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004 Alon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
